⋯你個頭,nei5 go3 tau4
⋯你條命,nei5 tiu4 meng6
⋯佢條命,keoi5 tiu4 meng6
⋯來⋯去,lai4 heoi3,lei4 heoi3
⋯到出汁,dou3 ceot1 zap1
⋯到唔恨,dou3 m4 han6
⋯到夠,dou3 gau3
⋯到死,dou3 sei2
⋯到甩肺,dou3 lat1 fai3
⋯到痹,dou3 bei3
⋯到痺,dou3 bei3
⋯到飛起,dou3 fei1 hei2
⋯到黐肺,dou3 ci1 fai3
⋯嚟⋯去,lai4 heoi3,lei4 heoi3
⋯就假,zau6 gaa2
⋯流流,lau4 lau4
⋯生晒,saang1 saai3
⋯進制,zeon3 zai3
⋯開有條路,hoi1 jau5 tiu4 lou6
⋯鬼⋯馬,gwai2 maa5
⺮,zuk1
⻊,zuk1
⻍,coek3
㓟,pai1
㔆,caam5
㔆手,caam5 sau2
㔼,seon2
㗱,zaap6,zep6,zep4
㗱㗱聲,zep4 zep2 seng1
㗲,waak1
㗾,hoe1,hoe4
㥋,ai1
㧾,fat1
㨆,lam3,lam6
㨘,saang2
㩋,sok1
㩒地游水,gam6 dei6 jau4 seoi2
㩧,bok1
㩧濕,bok1 sap1
㷹,zaau3
㾓,jyun1
䁪,zaam2
䁽,laap3
䂻,zaang6
䉺,hong2
䐥,ngong3,ngung3
䘒,zoe1
䞘,gat6
䟕,caa1
䠄,din2
䠄牀䠄席,din2 cong4 din2 zek6
䠄癮,din2 jan5
一噼泥,jat1 pek6 nai4
一嚿木,jat1 gau6 muk6
一家便宜兩家著數,jat1 gaa1 pin4 ji4 loeng5 gaa1 zoek6 sou3
一家輸三家,jat1 gaa1 syu1 saam1 gaa1
一般來説,jat1 bun1 loi4 syut3
七姐餅,cat1 ze2 beng2
三毫子小説,saam1 hou4 zi2 siu2 syut3
上什,soeng6 zaap6
上好沉香當爛柴,soeng6 hou2 cam4 hoeng1 dong3 laan6 caai4
下舖上居,haa6 pou3 soeng6 geoi1
不容分説,bat1 jung4 fan1 syut3
不消説,bat1 siu1 syut3
不由分説,bat1 jau4 fan1 syut3
不説不知,bat1 syut3 bat1 zi1
中中哋,zung1 zung1 dei2
中元法會,zung1 jyun4 faat3 wui2
主曆,zyu2 lik6
久一⋯久二⋯,gau2 jat1 gau2 ji6
乜嘢新絲蘿蔔皮,mat1 je5 san1 si1 lo4 baak6 pei5
乜東東芫茜葱,mat1 dung1 dung1 jin4 sai1 cung1,mat1 dung1 dung1 jim4 sai1 cung1
乜説話,mat1 syut3 waa6
乞⋯憎,hat1 zang1,haat1 zang1
乞兒兜度嗱飯食,hat1 ji1 dau1 dou6 naa2 faan6 sik6,haat1 ji1 dau1 dou6 naa2 faan6 sik6
乾巾,gon1 gan1
二撈七,ji6 lou1 cat1
五稜鏡,ng5 ling4 geng3
交個波俾⋯,gaau1 go3 bo1 bei2
交個波畀⋯,gaau1 go3 bo1 bei2
人頭税,jan4 tau4 seoi3
他他粉,taa1 taa1 fan2
以⋯為由,ji5 wai4 jau4
任⋯唔嬲,jam6 m4 nau1
伊文士,ji1 man4 si6
住家婆,zyu6 gaa1 po2,zyu6 gaa1 po4
例戲,lai6 hei3
依撈七,ji1 lou1 cat1
依文士,ji1 man4 si6
侵埋⋯玩,cam1 maai4 waan2
係又⋯唔係又⋯,hai6 jau6 m4 hai6 jau6
保⋯大,bou2 daai6
保温壺,bou2 wan1 wu2
俾個冬瓜你做膽,bei2 go3 dung1 gwaa1 nei5 zou6 daam2
俾個天你做膽,bei2 go3 tin1 nei5 zou6 daam2
俾西瓜皮⋯踩,bei2 sai1 gwaa1 pei4 caai2
俾鬼矺,bei2 gwai2 zaak6,bei2 gwai2 zaak3
俾鬼砸,bei2 gwai2 zaak6,bei2 gwai2 zaak3
個體户,go3 tai2 wu6
借⋯過橋,ze3 gwo3 kiu2
借閲,ze3 jyut6
假説,gaa2 syut3
做到隻屐咁,zou6 dou3 zek3 kek6 gam2
儳亂歌柄,caam6 lyun6 go1 beng3
光劣出,gwong1 lyut1 cyut1
光脱脱,gwong1 tyut1 tyut1
免税品,min5 seoi3 ban2
八仙枱,baat3 sin1 toi2
公説公有理,gung1 syut3 gung1 jau5 lei5
共聚天倫樂,gung6 zeoi6 tin1 leon4 lok6
典牀典蓆,din2 cong4 din2 zek6
冇得⋯,mou5 dak1
冇數為,mou5 sou3 wai4
冇殼蝸牛,mou5 hok3 wo1 ngau4
冇牙婆穿針,mou5 ngaa4 po4 cyun1 zam1
冠絕群倫,gun3 zyut6 kwan4 leon4
冧巴温,lam1 baa1 wan1
冰肉,bing1 juk6
分別為聖,fan1 bit6 wai4 sing3
分外事,fan6 ngoi6 si6
切卓咁轉,cit1 coet1 gam2 zyun3
前世欠⋯,cin4 sai3 him3
剒,cok3
劖,caam5
勒杜鵑,lak6 dou6 gyun1
勘輿,ham1 jyu4
勛銜,fan1 haam4
勹,baau1
勾朋結黨,ngau1 pang4 git3 dong2
包喺⋯身上,baau1 hai2 san1 soeng6
十⋯八⋯,sap6 bat3
十成著咗九成,sap6 sing4 zoek6 zo2 gau2 sing4
千足金,cin1 zuk1 gam1
卓爾不群,coek3 ji5 bat1 kwan4
卼,ngat6
厴,jim2
厾,duk1
取消文化,ceoi2 siu1 man4 faa3
口𣲷濕,hau2 nap6 sap1
叮叮凳凳,ding4 ding1 dam4 dam3,ding1 ding1 dam3 dam3,ding4 ding1 dam3 dam3
右優,jau6 jaau1,jau6 aau1
右囿,jau6 jaau1,jau6 aau1
司馬両,si1 maa5 loeng2
司馬斤,si1 maa5 gan1
吊泥艋,diu3 nai4 maang1
同⋯有親,tung4 jau5 can1
吸濕劑,kap1 sap1 zai1
呵瀝,ho1 lik1
和顏悦色,wo4 ngaan4 jyut6 sik1
咕窿,gu1 lung1
咕竉,gu1 lung1
咽韌,jin1 ngan6
哀歎,oi1 taan3
品脱,ban2 tyut3
哽哽聲,ngang4 ngang2 seng1
唐貨舖,tong4 fo3 pou2
唔係⋯嗰皮,m4 hai6 go2 pei4
唔係⋯手腳,m4 hai6 sau2 goek3
唔啱蕎,m4 ngaam1 kiu2
唔單祇,m4 daan1 zi2
唔淨祇,m4 zing6 zi2
唔發火當⋯病貓,m4 faat3 fo2 dong3 beng6 maau1
唧係話,zik1 hai6 waa6,zek1 hai6 waa6
啦㨢,naa1 nang3,laa1 lang3
啱啱碰著剛剛,ngaam1 ngaam1 pung3 zoek6 gong1 gong1
啱蕎,ngaam1 kiu2
喝生晒,hot3 saang1 saai3
嗍,sok3
嗰濟,go4 zai3,go4 zai6,gwo4 zai3,gwo4 zai6
嘰嘰屹屹,gi4 gi1 gat6 gat6,gi4 gi1 gat4 gat4,gi4 gi4 gat4 gat4,gi1 gi1 gat6 gat6
嘰嘰訖訖,gi4 gi1 gat6 gat6,gi4 gi1 gat4 gat4,gi4 gi4 gat4 gat4,gi1 gi1 gat6 gat6
嘰嘰𠺝𠺝,gi4 gi1 gat6 gat6,gi4 gi1 gat4 gat4,gi4 gi4 gat4 gat4,gi1 gi1 gat6 gat6
嘰屹,gi1 gat6
嘰訖,gi1 gat6
嘰𠺝,gi1 gat6
嘴喵喵,zeoi2 miu2 miu2
嘴妙妙,zeoi2 miu2 miu2
噆,cam3
囈囈篩篩,ai1 ai1 sai1 sai1,ngai1 ngai1 sai1 sai1
囈求,ngai1 kau4,ai1 kau4
圓榃陀,jyun4 dam4 doe4
土地婆,tou2 dei2 po2
坎頭埋牆,ham2 tau2 maai4 coeng5
坐攝,zo6 sip1
垽,ngan6
報税佬,bou3 seoi3 lou2
墨魚骨,mak6 jyu4 gwat1
墳場發電機,fan4 coeng4 faat3 din6 gei1
壓牙,ngaat6 ngaa4
夔龍紋,kwai4 lung4 man4
夙夜為謀,suk1 je6 wai4 mau4
多得⋯唔少,do1 dak1 m4 siu2
大⋯特⋯,daai6 dak6
大位事,daai6 wai6 si6
大嘆特嘆,daai6 taan3 dak6 taan3
大肚腍耽,daai6 tou5 lam4 dam1
大蝦細俾屎餵,daai6 haa1 sai3 bei2 si2 wai3
大話𢫏大話,daai6 waa6 kam2 daai6 waa6
大轆藕抬色,daai6 luk1 ngau5 toi4 sik1
大面缽,daai6 min6 but3
天光戲,tin1 gwong1 hei3
天城字,tin1 sing4 zi6
失温症,sat1 wan1 zing3
奀支支,ngan1 zi1 zi1
奅,paau3
奈⋯乜何,noi6 mat1 ho4
奈⋯唔何,noi6 m4 ho4
女神套房,neoi5 san4 tou3 fong2
好⋯唔⋯,hou2 m4
好天裝冇地載,hou2 tin1 zong1 mou5 dei6 zoi3
好眉好貌生沙虱,hou2 mei4 hou2 maau6 saang1 saa1 sat1
妹仔梯,mui1 zai2 tai1
姣屍燉篤,haau4 si1 dan3 duk1
姩,nin1,lin1
威也吊燈籠,wai1 jaa2 diu3 dang1 lung4
娛頭,jyu4 tau4
婄,pau3
婆乸型,po4 naa2 jing4
孖屐亭,maa1 ket4 ting4
存户,cyun4 wu6
家基冷,gaa6 gi6 laang1
家醜不出外揚,gaa1 cau2 bat1 ceot1 ngoi6 joeng4
實話實説,sat6 waa6 sat6 syut3
審閲,sam2 jyut6
將臨期,zoeng1 lam4 kei4
尿崩症,niu6 bang1 zing3
居家兵,goe1 gaa4 bing1
屎波架生多,si2 bo1 gaa3 saang1 do1
屙勃勃,o1 but6 but6
屙細,o1 sai3
屙遏尿,o1 at1 niu6
左囿,zo2 jaau1,zo2 aau1
常温常壓,soeng4 wan1 soeng4 aat3
幡竿燈籠,faan1 gon1 dang1 lung4
平腰,ping4 jiu1
幾⋯下,gei2 haa5
廹,baak1
廹鈕,baak1 nau2
弗弗哋,fat1 fat1 dei2
強脊,koeng2 zek3
彳亍咁轉,cit1 coet1 gam2 zyun3
律音管,leot6 jam1 gun2
得個⋯字,dak1 go3 zi6
微細血管,mei4 sai3 hyut3 gun2
心往神馳,sam1 wong5 san4 ci4
心悦誠服,sam1 jyut6 sing4 fuk6
心謀不軌,sam1 mau4 bat1 gwai2
恭賀語,gung1 ho6 jyu5
惡死睖瞪,ok3 si2 nang4 dang1,ok3 sei2 nang4 dang1
想創⋯個心,soeng2 cong3 go3 sam1
想唔⋯都幾難,soeng2 m4 dou1 gei2 naan4
愩,gung3
慈航普渡,pou2 dou6 ci4 hong4
慳濕,haan1 sap1
慳税,haan1 seoi3
憮,mou5
懷古惜今,waai4 gu2 sik1 gam1
懸針紋,jyun4 zam1 man4
扁通,bin2 tung1
扊扅,jim5 ji4
手扳眼見功夫,sau2 baan2 ngaan5 gin3 gung1 fu1
手扳眼見工夫,sau2 baan2 ngaan5 gin3 gung1 fu1
手毬,sau2 kau4
扒灰公,paa4 fui1 gung1
打爛沙盆問到篤,daa2 laan6 saa1 pun4 man6 dou3 duk1
打爛沙盆璺到篤,daa2 laan6 saa1 pun4 man6 dou3 duk1
打爛齋缽,daa2 laan6 zaai1 but6
打鑼咁揾,daa2 lo2 gam2 wan2,daa2 lo2 gam3 wan2
打鑼都揾唔倒,daa2 lo2 dou1 wan2 m4 dou2
打開天窗説亮話,daa2 hoi1 tin1 coeng1 syut3 loeng6 waa6
打雀咁眼,daa2 zoek2 gam1 ngaam2
扠禍,caa5 wo5
扮嗮嘢,baan6 saai3 je5
扶柩,fu4 gau3
批個頭俾你當凳坐,pai1 go3 tau2 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 bei2 nei5 dong3 dang3 co5
批個頭俾你當櫈坐,pai1 go3 tau2 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 bei2 nei5 dong3 dang3 co5
批個頭畀你當凳坐,pai1 go3 tau2 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 bei2 nei5 dong3 dang3 co5
批個頭畀你當櫈坐,pai1 go3 tau2 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 bei2 nei5 dong3 dang3 co5
批個頭落嚟俾你當凳坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批個頭落嚟俾你當櫈坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批個頭落嚟畀你當凳坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批個頭落嚟畀你當櫈坐,pai1 go3 tau2 lok6 lai4 bei2 nei5 dong3 dang3 co5,pai1 go3 tau4 lok6 lai4 bei2 nei5 dong3 dang3 co5
批閲,pai1 jyut6
承上啓下,sing4 soeng6 kai2 haa6
把口瑯過油,baa2 hau2 long2 gwo3 jau4
把口過油,baa2 hau2 long2 gwo3 jau4
披閲,pei1 jyut6
抳,nei4
抽濕劑,cau1 sap1 zai1
拜枱,baai3 toi2
拞,jau1
持証人,ci4 zing3 jan4
指天督地,zi2 tin1 duk1 dei6
挨屏,aai1 peng1
挱,saa3
捉刀人,zuk1 dou1 jan4
捵癮,din2 jan5
掅,cing3
掉哪媽,diu2 naa5 maa1
掘頭進士,gwat6 tau4 zeon3 si6
掙脱,zang1 tyut3
探題,taam3 tai4
推錢機,teoi1 cin2 gei1
掭,tim5
掱,paa4
揆情度理,kwai4 cing4 dok6 lei5
揆時度勢,kwai4 si4 dok6 sai3
揗,tan4
換句話説,wun6 geoi3 waa6 syut3
揢,kak1
揾丁,wan2 ding1
揾來搞,wan2 lei4 gaau2,wan2 lai4 gaau2
揾來講,wan2 lai4 gong2,wan2 lei4 gong2
揾個銀刮痧都冇,wan2 go3 ngan4 gwaat3 saa1 dou1 mou5
揾四方錢,wan2 sei3 fong1 cin4
揾朝唔得晏,wan2 ziu1 m4 dak1 aan3
揾朝唔得晚,wan2 ziu1 m4 dak1 maan5
揾米路,wan2 mai5 lou6
揾銀紙,wan2 ngan4 zi2
揾錢買花戴,wan2 cin2 maai5 faa1 daai3
搉,kok1
搓皮,caa1 pei2
搓魚蛋,caai1 jyu4 daan2
搰,wat6
摘數,zaak6 sou3
摞低,leoi1 dai1
摥,tong3
摵眉,cik1 mei4
摻埋⋯玩,cam1 maai4 waan2
撇脱,pit3 tyut3
撍,cim4
撏,cim4
撬馬腳,giu6 maa5 goek3
播音台,bo3 jam1 toi4
擏,geng6
擔雪填井,daam1 syut3 tin4 zeng2
擙,ngou1,ou1
擴充咭,kwong3 cung1 kaa1
攊,nik1
攋嘢,laai2 je5
攣住,lyun1 zyu6
攣弮蝦米,lyun1 gung1 haa1 mai5
攪攪棍,gaau2 gaau2 gwan3
放低二両,fong3 dai1 ji6 loeng2
放低幾両,fong3 dai1 gei2 loeng2
放圮,fong3 pe5
散仔強,saan4 zai2 koeng4
整煲杰嘢人嘆,zing2 bou1 git6 je5 jan4 taan3
斗姆,dau2 mou5
斗姥,dau2 mou5
斵,doek3
旋水髮,syun4 seoi2 faat3
日⋯夜⋯,jat6 je6
日偏蝕,jat6 pin1 sik6
日本円,jat6 bun2 jen1
昆玉,kwan1 juk2
昧水銅人,mei6 seoi2 tung4 jan4
晒月光,saai3 jyut6 gwong1
晒馬檻,saai3 maa5 laam2
